codigo_rj;idhm;area;populacao;densidade;escolaridade;receita;despesa;itai;link_wiki;nome_municipio;regiao;latitude;longitude
3306008;0.725;322.84;78346;242.68;97.9;5.32820736E8;5.09644128E8;0.54;https://pt.wikipedia.org/wiki/Tr%C3%AAs_Rios;Três Rios;Centro Fluminense;-22.116943;-43.20889
3306156;0.659;201.93;10207;50.55;96.8;1.08727344E8;9.9107E7;0.72;https://pt.wikipedia.org/wiki/Varre-Sai;Varre-Sai;Noroeste Fluminense;-20.930834;-41.86889
3300308;0.733;584.61;92883;158.88;98.7;3.57346816E8;4.37740608E8;0.87;https://pt.wikipedia.org/wiki/Barra_do_Pira%C3%AD;Barra do Piraí;Sul Fluminense;-22.47;-43.825832
3306206;0.714;536.07;33976;63.38;98.8;3.02335872E8;2.79934496E8;0.48;https://pt.wikipedia.org/wiki/Vassouras;Vassouras;Metropolitana;-22.403889;-43.662777
3301876;0.761;50.97;27920;547.7;98.1;3.76682336E8;3.95938272E8;0.7;https://pt.wikipedia.org/wiki/Iguaba_Grande;Iguaba Grande;Baixadas;-22.838888;-42.22889
3301504;0.729;113.04;20783;183.84;97.6;1.54181408E8;1.62280848E8;0.78;https://pt.wikipedia.org/wiki/Cordeiro_(Rio_de_Janeiro);Cordeiro;Centro Fluminense;-22.028889;-42.360832
3305000;0.671;452.39;36573;80.84;97.5;8.6527558E8;8.0872211E8;0.41;https://pt.wikipedia.org/wiki/S%C3%A3o_Jo%C3%A3o_da_Barra;São João da Barra;Norte Fluminense;-21.64;-41.050835
3301405;0.712;338.26;21104;62.39;98.8;1.4102448E8;1.64770432E8;0.93;https://pt.wikipedia.org/wiki/Concei%C3%A7%C3%A3o_de_Macabu;Conceição de Macabu;Norte Fluminense;-22.085;-41.86778
3302858;0.737;41.16;167127;4059.54;97.9;6.0557248E8;5.6857011E8;0.69;https://pt.wikipedia.org/wiki/Mesquita_(Rio_de_Janeiro);Mesquita;Metropolitana;-22.781944;-43.42889
3304003;0.708;490.25;27474;56.04;97.7;3.43948128E8;3.4653616E8;0.78;https://pt.wikipedia.org/wiki/Pira%C3%AD;Piraí;Sul Fluminense;-22.62889;-43.897778
3302056;0.688;291.19;14073;48.33;98.6;1.32105216E8;1.22981096E8;0.71;https://pt.wikipedia.org/wiki/Italva;Italva;Noroeste Fluminense;-21.420834;-41.690834
3302601;0.753;367.6;41220;112.13;96.7;5.8516755E8;5.9947782E8;0.39;https://pt.wikipedia.org/wiki/Mangaratiba;Mangaratiba;Metropolitana;-22.96;-44.040833
3300704;0.735;413.44;222161;537.34;96.9;1.51131891E9;1.49120909E9;0.92;https://pt.wikipedia.org/wiki/Cabo_Frio;Cabo Frio;Baixadas;-22.87889;-42.01889
3303401;0.745;935.42;189939;203.05;98.7;8.3950662E8;8.4156288E8;0.89;https://pt.wikipedia.org/wiki/Nova_Friburgo;Nova Friburgo;Centro Fluminense;-22.281944;
3304607;0.668;810.96;10232;12.62;98.3;1.10222048E8;1.23408528E8;0.59;https://pt.wikipedia.org/wiki/Santa_Maria_Madalena_(Rio_de_Janeiro);Santa Maria Madalena;Centro Fluminense;-21.955;-42.00778
3300100;0.724;813.42;167434;205.84;96.4;2.64204749E9;2.1050592E9;0.83;https://pt.wikipedia.org/wiki/Angra_dos_Reis;Angra dos Reis;Sul Fluminense;-23.006945;-44.31778
3305505;0.709;352.13;89559;254.34;96.3;2.76366234E9;2.35992832E9;0.58;https://pt.wikipedia.org/wiki/Saquarema;Saquarema;Baixadas;-22.92;-42.51
3304524;0.773;228.04;156491;686.23;98.2;1.11452672E9;1.18293274E9;0.79;https://pt.wikipedia.org/wiki/Rio_das_Ostras;Rio das Ostras;Baixadas;-22.526943;-41.945
3304755;0.639;1118.03;45059;40.3;98.0;2.17898048E8;2.35386464E8;0.67;https://pt.wikipedia.org/wiki/S%C3%A3o_Francisco_de_Itabapoana;São Francisco de Itabapoana;Norte Fluminense;-21.47;-41.11889
3305406;0.675;540.67;17729;32.79;97.3;1.80998064E8;1.85302096E8;0.48;https://pt.wikipedia.org/wiki/Sapucaia_(Rio_de_Janeiro);Sapucaia;Centro Fluminense;-21.995;-42.91389
3300936;0.713;304.88;13847;45.42;98.7;2.98480742E9;3.32906496E9;0.64;https://pt.wikipedia.org/wiki/Carapebus;Carapebus;Norte Fluminense;-22.186943;-41.66083
3303005;0.713;303.27;26881;88.64;97.5;1.80104704E8;1.889716E8;0.51;https://pt.wikipedia.org/wiki/Miracema;Miracema;Noroeste Fluminense;-21.411943;-42.196945
3304102;0.697;291.84;17288;59.24;99.1;1.4610856E8;1.5989704E8;0.62;https://pt.wikipedia.org/wiki/Porci%C3%BAncula;Porciúncula;Noroeste Fluminense;-20.962778;-42.040833
3306305;0.771;182.1;261563;1436.33;98.5;8.7023616E8;1.60404736E9;0.63;https://pt.wikipedia.org/wiki/Volta_Redonda;Volta Redonda;Sul Fluminense;-22.523056;-44.104168
3305703;0.611;413.4;15206;36.78;93.5;8.4651512E7;7.3856704E7;0.61;https://pt.wikipedia.org/wiki/Sumidouro_(Rio_de_Janeiro);Sumidouro;Centro Fluminense;-22.05;-42.675
