codigo_rj;idhm;area;populacao;densidade;escolaridade;receita;despesa;itai;wiki
3305208;0.712;332.48;104029;312.88;97.9;492596864;558131200;0.87;https://pt.wikipedia.org/wiki/S%C3%A3o_Pedro_da_Aldeia
3305307;0.646;397.21;7750;19.51;94.6;93621216;99885408;0.52;https://pt.wikipedia.org/wiki/S%C3%A3o_Sebasti%C3%A3o_do_Alto
3305406;0.675;540.67;17729;32.79;97.3;180998064;185302096;0.48;https://pt.wikipedia.org/wiki/Sapucaia_(Rio_de_Janeiro)
3305505;0.709;352.13;89559;254.34;96.3;2763662340;2359928320;0.58;https://pt.wikipedia.org/wiki/Saquarema
3305554;0.713;265.18;80596;303.92;97.5;452825696;460571456;0.65;https://pt.wikipedia.org/wiki/Serop%C3%A9dica
3305604;0.654;937.75;21352;22.77;98.8;340554464;307795264;0.46;https://pt.wikipedia.org/wiki/Silva_Jardim
3305703;0.611;413.4;15206;36.78;93.5;84651512;73856704;0.61;https://pt.wikipedia.org/wiki/Sumidouro_(Rio_de_Janeiro)
3305752;0.654;143;31086;217.37;98.1;189343792;192949904;0.74;https://pt.wikipedia.org/wiki/Tangu%C3%A1
3305802;0.73;773.33;165123;213.52;96.2;931293180;930429950;0.59;https://pt.wikipedia.org/wiki/Teres%C3%B3polis
3305901;0.667;591.15;10302;17.43;98.4;107166200;110795344;0.77;https://pt.wikipedia.org/wiki/Trajano_de_Moraes
3306008;0.725;322.84;78346;242.68;97.9;532820736;509644128;0.54;https://pt.wikipedia.org/wiki/Tr%C3%AAs_Rios
3306107;0.738;1300.76;68088;52.34;97.7;30496068;23646388;0.71;https://pt.wikipedia.org/wiki/Valen%C3%A7a_(Rio_de_Janeiro)
3306156;0.659;201.93;10207;50.55;96.8;108727344;99107000;0.72;https://pt.wikipedia.org/wiki/Varre-Sai
3306206;0.714;536.07;33976;63.38;98.8;302335872;279934496;0.48;https://pt.wikipedia.org/wiki/Vassouras
3306305;0.771;182.1;261563;1436.33;98.5;870236160;1604047360;0.63;https://pt.wikipedia.org/wiki/Volta_Redonda
